tiempo,crudo,filtrado,fusion,kalman,distancia
0.032,102.05256999061734,30.6157709971852,61.260615033472064,61.260615033472064,0.0
0.064,97.94907503678624,50.81576220906551,103.15203479063454,94.46643563246738,0.0018840000000000146
0.096,104.84513975415823,67.02457547259331,132.56311365553196,110.85321264318004,0.003768000000000029
0.128,102.35439383528703,77.62352098140141,155.65649533428905,124.42711019889965,0.0057148000000006504
0.16,95.43590537184537,82.9672362985346,166.75831466139388,134.48555066778098,0.007661600000001272
0.192,98.76882662587703,87.70771339673732,177.39197233891997,143.2303638728183,0.009545600000001287
0.224,104.96033009195207,92.88349840530174,187.0352165084053,151.26537717074712,0.011429600000001301
0.256,104.58894356562422,96.39513195339848,193.70417451512589,158.34626688985958,0.013439199999997983
0.28800000000000003,97.81940949777685,96.82241521671199,193.43746183812004,163.72700362514814,0.015323199999997997
0.32,99.79000825808659,97.71269312912436,196.18549635680415,168.41100337503676,0.01720719999999801
0.352,107.01070652763913,100.50209714867879,199.8710225106342,172.73857929935426,0.01915399999999863
0.384,102.27796537520291,101.03485761663602,200.88063870161199,176.37466265434006,0.021100799999994705
0.41600000000000004,105.13011011203183,102.26343336525477,202.8730557514033,179.71408750473813,0.02298479999999472
0.448,101.02143402693608,101.89083356375916,202.72162435959285,182.38602457174656,0.024868799999994733
0.48,97.39819710210982,100.54304262526435,203.78981296404461,184.69742895077638,0.026815599999995353
0.512,102.76605799081013,101.20994723492807,201.7618097710921,186.20895565145247,0.028762399999995976
0.544,100.95809222191343,101.13439073102367,200.20498965428985,187.20891621978373,0.03064639999999599
0.5760000000000001,97.71053519745243,100.10723407095229,200.08918756349453,188.0032675183667,0.032530399999996004
0.608,103.84751620139073,101.22931871008382,200.31714878364932,188.59012084300076,0.03453999999999723
0.64,97.35890350930921,100.06819414985142,200.69948237420806,189.24146503767457,0.03642399999999725
0.672,101.75594472691202,100.57451932296959,200.8161859161686,189.7951246058319,0.03830799999999727
0.704,104.8001883866971,101.84222004208783,201.70451027377015,190.35740913520763,0.04025479999999789
0.736,91.37465177319231,98.70194956141916,199.9128852920859,190.49313246135287,0.042201599999998514
0.768,102.82720991422092,99.93952766725968,199.87318754530446,190.6483187610573,0.04408559999999853
0.8,104.64041699607125,101.34979446590316,199.8092813391828,190.76370597574993,0.04596959999999855
0.8320000000000001,96.45349833385393,99.88090562628838,200.1495441799994,190.8682755678909,0.04791639999999917
0.864,95.2466715533418,98.4906354044044,198.92136248953085,190.73154283969976,0.049863199999999795
0.896,113.84348451438788,103.09649013739944,203.2671178671169,191.45755897246866,0.05174719999999981
0.928,107.9006563492438,104.53774000095274,205.24605611962554,192.4103213788875,0.05363119999999983
0.96,101.50388045496152,103.62758213715537,205.409972720904,193.11740954578514,0.05564080000000106
0.992,104.32457421714312,103.8366797611517,205.1606166026888,193.75423112745816,0.057524800000001076
1.024,98.32084197280952,102.18192842464904,201.15594610016853,193.5509366375319,0.059408800000001094
1.056,104.64028832713197,102.91943639539392,202.2983852880753,193.5397800093589,0.061355599999997165
1.088,103.21270861464737,103.00741806116994,203.02104318265418,193.66143887790105,0.06330239999999779
1.12,108.62961818245526,104.69407809755552,204.01461913155674,193.99234371006742,0.0651863999999978
1.1520000000000001,98.9105439513111,102.95901785368218,203.34372120279244,194.14192256521255,0.06707039999999781
